unique(Master_Bacteria_Raw$species);Total_Aquatic;Aquatic_Waste_Water;Aquatic_River;Aquatic_Marine;Aquatic_Sea;Aquatic_Sediment;Aquatic_Lake;Aquatic_Ocean;Aquatic_Reservoir;Aquatic_Estuary;Aquatic_Groundwater;Aquatic_Ice;Aquatic_Brine;Aquatic_Unknown;Total_Soil;Soil_Farm;Soil_Field;Soil_Forest;Soil_Agricultural;Soil_Peatland;Soil_Paddy;Soil_Desert;Soil_Tundra;Soil_Unknown;Total_Animal;Animal_Human;Animal_Mouse;Animal_Rat;Animal_Pig;Animal_Dog;Animal_Bird;Animal_Cattle;Animal_Sheep;Animal_Cat;Animal_Goat;Animal_Macaque;Animal_Fish;Animal_Horse;Animal_Fly;Animal_Mosquito;Animal_Termite;Animal_Bee;Animal_Tick;Animal_Baboon;Animal_Bat;Animal_Hamster;Animal_Chimpanzee;Animal_Whale;Animal_Bumblebee;Animal_Roe;Animal_Gorilla;Animal_Tadpole;Animal_Swallow;Animal_Sparrow;Animal_Shark;Animal_Seagull;Animal_Pigeon;Animal_Unknown;Total_Plant;Plant_Rhizosphere;Plant_Leaf;Plant_Stem;Plant_Wood;Plant_Seed;Plant_Flower;Plant_Sprout;Plant_Unknown;Total_Unknown;Unknown_Unknown;MA_Status;Soil_Shrub;Animal_Dolphin;Animal_Fruitfly;Animal_Stork;Animal_Eagle
Rahnella sikkimica;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Candidatus Promineofilum breve;42.1;34.9;0.92;0.14;0.09;0.91;0.05;0.0;0.01;0.17;0.06;0.0;0.0;4.82;4.61;0.31;0.18;0.04;0.1;0.01;0.37;0.0;0.0;3.6;2.52;0.37;0.03;0.01;0.16;0.02;0.07;0.16;0.01;0.0;0.07;0.0;0.06;0.0;0.0;0.09;0.0;0.0;0.0;0.0;0.05;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.39;0.73;0.21;0.01;0.0;0.0;0.15;0.01;0.0;0.35;50.0;50.0;Found;0.0;0.0;0.0;0.0;0.0
Mycolicibacterium obuense;19.7;9.97;0.81;0.83;0.6;0.85;0.78;0.16;0.07;0.26;0.28;0.0;0.0;5.1;19.4;0.54;2.05;2.02;0.7;0.19;0.49;0.15;0.02;13.2;15.4;5.84;0.29;0.02;0.11;1.48;0.08;0.08;0.01;0.01;0.02;0.0;0.2;0.02;0.0;0.18;0.01;0.04;0.53;0.0;0.01;0.0;0.0;0.02;0.0;0.0;0.0;0.0;0.03;0.0;0.01;0.0;0.0;6.37;6.77;4.24;0.1;0.01;0.04;0.04;0.0;0.07;2.26;38.8;38.8;Found;0.01;0.0;0.0;0.0;0.0
Acinetobacter sp. LoGeW2-3;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Candidatus Methylospira mobilis;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Herminiimonas arsenitoxidans;12.7;0.96;1.14;0.1;0.34;0.98;1.6;0.29;0.23;0.05;0.26;0.26;0.0;6.5;20.2;0.36;4.45;0.85;1.79;0.29;0.34;0.18;0.1;11.7;10.2;3.7;0.1;0.03;0.05;1.84;0.15;0.62;0.0;0.0;0.0;0.0;0.18;0.05;0.0;0.23;0.03;0.0;0.08;0.0;0.08;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.05;21.2;13.0;1.29;0.05;0.1;0.03;0.0;0.23;6.52;35.7;35.7;Found;0.1;0.0;0.0;0.0;0.0
Pectobacterium brasiliense;8.15;2.7;1.57;0.11;0.39;0.11;1.8;0.0;0.0;0.0;0.06;0.0;0.11;1.29;2.7;0.17;0.22;0.45;0.06;0.0;0.0;0.0;0.0;1.8;31.1;14.4;0.73;0.0;0.11;0.17;0.17;0.62;0.22;0.0;0.0;0.11;0.51;0.06;0.51;1.12;0.06;0.0;0.0;0.0;0.11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11;0.0;0.0;0.0;12.1;13.3;2.08;0.79;0.22;0.22;0.62;3.03;0.0;6.35;44.7;44.7;Found;0.0;0.0;0.0;0.0;0.0
Mycolicibacterium vaccae;29.8;0.8;0.6;4.02;0.2;0.4;0.6;19.7;0.0;0.0;0.0;0.0;0.0;3.42;33.4;0.2;5.23;3.82;0.6;0.0;0.0;0.0;0.0;23.5;3.02;0.4;0.0;0.0;0.0;0.2;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.21;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;33.2;33.2;Found;0.0;0.0;0.0;0.0;0.0
Immundisolibacter cernigliae;41.4;2.64;3.25;3.04;2.35;4.2;1.42;0.72;0.17;0.58;1.75;0.03;0.0;21.2;16.9;0.25;0.96;0.52;0.33;0.02;0.4;0.06;0.34;14.0;4.64;1.61;0.22;0.04;0.08;0.05;0.25;0.07;0.03;0.0;0.01;0.0;0.26;0.01;0.01;0.06;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.0;1.8;1.48;0.65;0.14;0.0;0.02;0.01;0.01;0.0;0.64;35.6;35.6;Found;0.0;0.0;0.0;0.0;0.0
Massilia terrae;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Massilia solisilvae;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Massilia agilis;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Sulfuriflexus mobilis;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Comamonas sp. PE63;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Enterobacter roggenkampii;4.39;1.07;0.31;0.51;0.16;0.4;0.43;0.01;0.11;0.05;0.02;0.03;0.08;1.19;2.84;0.45;0.4;0.13;0.07;0.0;0.03;0.01;0.0;1.74;58.5;29.8;1.19;0.15;0.98;0.43;1.01;0.32;0.07;0.06;0.04;0.05;0.26;0.09;0.07;0.37;0.03;0.16;0.03;0.0;0.16;0.01;0.0;0.02;0.04;0.0;0.0;0.01;0.06;0.0;0.0;0.0;0.0;23.1;4.54;0.64;0.91;0.05;0.14;0.22;0.07;0.24;2.28;29.7;29.7;Found;0.0;0.0;0.0;0.0;0.0
Peteryoungia desertarenae;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Sphingomonas naphthae;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Rhodococcus sp. EPR-157;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Tetrasphaera sp. HKS02;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Acidovorax sp. GW101-3H11;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Nitrosococcus wardiae;14.0;0.73;0.49;0.0;0.24;7.57;1.71;0.24;0.24;0.12;0.12;0.0;0.0;2.56;33.3;0.12;1.59;0.98;0.37;0.0;0.12;2.2;0.0;28.0;5.25;2.81;0.24;0.0;0.24;0.0;0.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.83;0.49;0.37;0.0;0.0;0.0;0.0;0.0;0.0;0.12;46.9;46.9;Found;0.0;0.0;0.0;0.0;0.0
Streptosporangium becharense;4.98;0.49;1.85;0.19;0.0;1.37;0.1;0.0;0.0;0.1;0.0;0.0;0.0;0.88;43.8;4.98;2.44;1.37;2.15;0.0;0.19;0.1;0.0;32.6;3.32;0.78;0.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.34;4.2;1.07;0.19;0.0;0.0;0.1;0.0;0.1;2.73;43.7;43.7;Found;0.0;0.0;0.0;0.0;0.0
Corynebacterium pacaense;8.72;4.73;1.03;0.16;0.3;0.27;0.1;0.03;0.14;0.02;0.03;0.03;0.0;1.87;12.2;2.92;0.25;2.56;0.68;1.05;0.0;0.21;0.02;4.54;35.4;3.43;0.62;0.16;10.3;0.33;2.1;6.1;0.05;0.18;0.02;0.4;0.73;0.27;0.03;0.16;0.02;0.06;0.08;0.0;0.03;0.0;0.0;0.0;0.0;0.03;0.0;0.0;0.02;0.0;0.0;0.02;0.0;10.3;2.43;0.08;0.21;0.0;0.05;0.05;0.03;0.0;2.02;41.2;41.2;Found;0.02;0.0;0.0;0.0;0.0
Sutterella massiliensis;3.18;1.71;0.25;0.16;0.05;0.15;0.09;0.02;0.02;0.01;0.02;0.0;0.01;0.7;0.86;0.16;0.16;0.05;0.02;0.01;0.01;0.01;0.01;0.44;79.2;36.7;1.26;0.94;5.59;4.6;0.54;0.73;0.09;0.42;0.05;0.5;0.04;0.06;0.03;0.01;0.0;0.01;0.01;0.03;0.0;0.0;0.0;0.01;0.0;0.0;0.02;0.0;0.0;0.0;0.0;0.0;0.0;27.6;0.29;0.02;0.03;0.01;0.01;0.01;0.01;0.0;0.21;16.4;16.4;Found;0.0;0.0;0.0;0.0;0.0
Streptomyces marianii;8.26;0.0;0.92;0.0;0.0;3.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.67;25.7;1.83;0.0;0.0;0.92;0.0;0.0;11.0;0.0;11.9;1.83;0.92;0.0;0.0;0.0;0.92;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.8;9.17;0.92;0.92;0.0;0.0;0.0;0.0;1.83;51.4;51.4;Found;0.0;0.0;0.0;0.0;0.0
Pseudoroseomonas deserti;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Skermanella rosea;5.26;0.0;1.75;0.0;0.0;1.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.75;24.6;1.75;7.02;0.0;1.75;0.0;0.0;5.26;0.0;8.77;22.8;5.26;1.75;0.0;0.0;0.0;1.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.4;47.4;Found;0.0;0.0;0.0;0.0;0.0
Streptomyces zhihengii;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Candidatus Thiodiazotropha endoloripes;67.9;1.73;0.92;18.4;4.18;14.1;0.37;1.45;0.02;8.28;0.04;0.02;0.02;18.4;4.18;0.18;0.22;0.47;0.0;0.02;0.51;0.06;0.0;2.71;1.27;0.14;0.08;0.0;0.02;0.0;0.02;0.0;0.0;0.0;0.0;0.0;0.06;0.0;0.0;0.0;0.0;0.0;0.02;0.0;0.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.84;2.29;0.57;0.27;0.0;0.0;0.0;0.0;0.0;1.45;24.3;24.3;Found;0.0;0.0;0.0;0.0;0.0
Polynucleobacter sp. es-GGE-1;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Polynucleobacter ibericus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Polynucleobacter sp. MG-27-Goln-C1;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Polynucleobacter sp. UB-Piko-W3;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Polynucleobacter sp. UB-Raua-W9;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Polynucleobacter sp. UK-Gri1-W3;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Polynucleobacter sp. UK-Kesae-W10;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Polynucleobacter alcilacus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Actinoallomurus sp. ID145698;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Pseudomonas sp. A-1;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
Mycolicibacterium murale;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;No Hits;0.0;0.0;0.0;0.0;0.0
Erythrobacter sp. HI0063;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
uncultured Paraburkholderia sp.;12.3;1.58;0.97;1.26;0.87;0.97;1.28;0.3;0.11;0.14;0.15;0.1;0.02;4.58;9.32;0.39;0.94;0.77;0.47;0.14;0.21;0.15;0.16;6.06;39.9;18.4;1.87;0.49;1.27;0.41;0.71;1.08;0.19;0.1;0.09;0.15;0.38;0.24;0.05;0.26;0.06;0.11;0.16;0.07;0.05;0.0;0.01;0.01;0.04;0.0;0.0;0.02;0.06;0.01;0.02;0.0;0.0;13.5;3.53;0.8;0.41;0.08;0.08;0.11;0.05;0.01;2.0;34.9;34.9;Found;0.03;0.0;0.0;0.0;0.0
