unique(Master_Bacteria_Raw$species);Total_Aquatic;Aquatic_Waste_Water;Aquatic_River;Aquatic_Marine;Aquatic_Sea;Aquatic_Sediment;Aquatic_Lake;Aquatic_Ocean;Aquatic_Reservoir;Aquatic_Estuary;Aquatic_Groundwater;Aquatic_Ice;Aquatic_Brine;Aquatic_Unknown;Total_Soil;Soil_Farm;Soil_Field;Soil_Forest;Soil_Agricultural;Soil_Peatland;Soil_Paddy;Soil_Desert;Soil_Tundra;Soil_Unknown;Total_Animal;Animal_Human;Animal_Mouse;Animal_Rat;Animal_Pig;Animal_Dog;Animal_Bird;Animal_Cattle;Animal_Sheep;Animal_Cat;Animal_Goat;Animal_Macaque;Animal_Fish;Animal_Horse;Animal_Fly;Animal_Mosquito;Animal_Termite;Animal_Bee;Animal_Tick;Animal_Baboon;Animal_Bat;Animal_Hamster;Animal_Chimpanzee;Animal_Whale;Animal_Bumblebee;Animal_Roe;Animal_Gorilla;Animal_Tadpole;Animal_Swallow;Animal_Sparrow;Animal_Shark;Animal_Seagull;Animal_Pigeon;Animal_Unknown;Total_Plant;Plant_Rhizosphere;Plant_Leaf;Plant_Stem;Plant_Wood;Plant_Seed;Plant_Flower;Plant_Sprout;Plant_Unknown;Total_Unknown;Unknown_Unknown;MA_Status;Soil_Shrub;Animal_Dolphin;Animal_Fruitfly;Animal_Stork;Animal_Eagle
Bacteroides fragilis;2.88;1.11;0.27;0.17;0.1;0.15;0.14;0.04;0.07;0.02;0.04;0.0;0.0;0.76;1.17;0.26;0.1;0.12;0.03;0.01;0.03;0.01;0.0;0.61;78.1;32.8;4.25;0.69;2.6;0.63;1.25;0.91;0.34;0.12;0.17;0.26;0.13;0.15;0.04;0.01;0.01;0.03;0.02;0.02;0.01;0.0;0.0;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.7;0.34;0.04;0.05;0.04;0.0;0.01;0.0;0.0;0.19;17.5;17.5;Found;0.0;0.0;0.0;0.0;0.0
Faecalibacillus intestinalis;3.87;2.21;0.25;0.18;0.09;0.12;0.07;0.05;0.03;0.01;0.02;0.01;0.0;0.83;0.79;0.14;0.1;0.02;0.04;0.0;0.01;0.01;0.0;0.47;76.9;41.2;1.16;0.26;0.52;1.36;0.22;0.45;0.06;0.07;0.05;0.57;0.07;0.07;0.04;0.02;0.0;0.02;0.01;0.22;0.0;0.0;0.03;0.0;0.01;0.0;0.01;0.0;0.0;0.0;0.0;0.0;0.0;30.5;0.26;0.02;0.06;0.01;0.01;0.01;0.0;0.0;0.15;18.2;18.2;Found;0.0;0.0;0.0;0.0;0.0
Bacteroides xylanisolvens;1.92;0.81;0.15;0.13;0.06;0.08;0.04;0.03;0.06;0.02;0.02;0.0;0.01;0.52;0.68;0.13;0.07;0.06;0.02;0.01;0.01;0.01;0.0;0.36;82.4;32.6;9.41;1.36;1.13;0.22;0.77;0.69;0.14;0.06;0.11;0.07;0.07;0.05;0.05;0.0;0.0;0.01;0.01;0.01;0.01;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.5;0.21;0.03;0.03;0.04;0.01;0.01;0.0;0.0;0.09;14.8;14.8;Found;0.0;0.0;0.0;0.0;0.0
Rothia mucilaginosa;2.13;0.33;0.13;0.18;0.18;0.13;0.15;0.04;0.01;0.01;0.04;0.04;0.01;0.89;1.35;0.22;0.11;0.17;0.05;0.03;0.02;0.04;0.01;0.71;63.5;42.0;0.93;0.16;0.2;0.21;0.21;0.18;0.02;0.11;0.01;0.11;0.13;0.02;0.01;0.15;0.01;0.05;0.07;0.02;0.03;0.0;0.01;0.01;0.01;0.0;0.0;0.01;0.01;0.01;0.02;0.0;0.0;18.7;0.65;0.07;0.08;0.13;0.02;0.02;0.03;0.0;0.31;32.4;32.4;Found;0.0;0.0;0.0;0.0;0.0
Odoribacter splanchnicus;2.44;1.19;0.2;0.12;0.07;0.08;0.05;0.04;0.02;0.02;0.01;0.0;0.01;0.63;0.53;0.14;0.07;0.02;0.01;0.0;0.01;0.0;0.0;0.28;81.5;44.9;2.72;0.46;0.5;0.27;0.89;0.58;0.13;0.04;0.09;0.03;0.05;0.01;0.04;0.01;0.01;0.01;0.01;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.8;0.18;0.02;0.03;0.03;0.01;0.01;0.0;0.0;0.09;15.4;15.4;Found;0.0;0.0;0.0;0.0;0.0
Dysosmobacter welbionis;1.32;0.6;0.08;0.06;0.03;0.07;0.03;0.02;0.02;0.01;0.01;0.0;0.0;0.39;0.51;0.14;0.06;0.02;0.01;0.0;0.01;0.0;0.0;0.27;84.0;45.6;1.86;0.6;1.24;0.21;1.73;0.31;0.15;0.24;0.09;0.06;0.02;0.06;0.04;0.0;0.01;0.01;0.0;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.0;0.0;0.0;31.7;0.17;0.01;0.03;0.05;0.0;0.01;0.0;0.0;0.06;14.0;14.0;Found;0.0;0.0;0.0;0.0;0.0
Alistipes shahii;1.85;0.99;0.11;0.09;0.04;0.06;0.04;0.02;0.01;0.01;0.01;0.0;0.0;0.45;0.58;0.07;0.08;0.01;0.02;0.04;0.01;0.0;0.0;0.33;83.2;41.7;5.88;1.34;1.75;0.13;0.61;0.4;0.11;0.05;0.1;0.08;0.04;0.02;0.05;0.01;0.01;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.0;0.0;30.9;0.22;0.03;0.04;0.02;0.01;0.01;0.0;0.0;0.11;14.1;14.1;Found;0.0;0.0;0.0;0.0;0.0
Bifidobacterium bifidum;2.65;1.54;0.15;0.07;0.05;0.07;0.04;0.05;0.01;0.01;0.01;0.04;0.01;0.58;0.83;0.18;0.09;0.02;0.05;0.01;0.01;0.03;0.01;0.44;75.4;39.5;2.78;0.32;0.69;0.18;0.22;0.52;0.1;0.06;0.09;0.21;0.05;0.01;0.01;0.03;0.01;0.12;0.02;0.1;0.01;0.02;0.0;0.01;0.02;0.0;0.01;0.0;0.0;0.0;0.0;0.0;0.0;30.4;0.32;0.04;0.06;0.02;0.0;0.01;0.0;0.0;0.18;20.8;20.8;Found;0.0;0.0;0.0;0.0;0.0
Streptococcus cristatus;2.05;0.43;0.18;0.1;0.15;0.16;0.13;0.05;0.01;0.01;0.04;0.04;0.0;0.75;1.24;0.21;0.14;0.2;0.04;0.01;0.02;0.03;0.0;0.59;65.3;36.8;0.95;0.32;1.01;0.16;0.33;0.21;0.05;0.16;0.03;0.39;0.18;0.06;0.03;0.13;0.02;0.04;0.06;0.09;0.06;0.0;0.01;0.01;0.01;0.0;0.0;0.0;0.0;0.01;0.02;0.0;0.0;24.2;0.55;0.06;0.09;0.1;0.03;0.03;0.04;0.0;0.21;30.9;30.9;Found;0.0;0.0;0.0;0.0;0.0
Lactobacillus gasseri;2.32;0.68;0.11;0.14;0.13;0.18;0.17;0.04;0.03;0.01;0.03;0.01;0.01;0.77;1.96;0.35;0.14;0.1;0.06;0.04;0.05;0.05;0.0;1.17;71.0;16.5;15.1;2.33;6.21;1.06;3.02;0.57;0.06;0.24;0.08;0.71;0.22;0.05;0.02;0.02;0.02;0.11;0.03;0.17;0.01;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.0;0.0;0.0;0.0;24.4;0.63;0.09;0.06;0.03;0.05;0.01;0.01;0.0;0.37;24.1;24.1;Found;0.0;0.0;0.0;0.0;0.0
